,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM,LOCATION,SWIM SEC,T1 SEC,BIKE SEC,T2 SEC,RUN SEC,TOTAL TIME SEC,ATHLETE
298,Irving,Perez,MEX,29,0:19:06,0:01:38,1:02:38,0:00:27,0:32:05,32,1:55:53,Elite Men,Rotterdam,1146,98,3758,27,1925,6953,Irving Perez
299,Alois,Knabl,AUT,30,0:18:48,0:01:37,1:00:42,0:00:27,0:33:00,20,1:54:32,Elite Men,Rotterdam,1128,97,3642,27,1980,6872,Alois Knabl
300,Ben,Kanute,USA,31,0:18:55,0:01:32,1:00:32,0:00:23,0:35:49,42,1:57:10,Elite Men,Rotterdam,1135,92,3632,23,2149,7030,Ben Kanute
301,Dmitry,Polyanskiy,RUS,32,0:18:40,0:01:42,1:03:01,0:00:25,0:31:22,26,1:55:09,Elite Men,Rotterdam,1120,102,3781,25,1882,6909,Dmitry Polyanskiy
302,Jelle,Geens,BEL,33,0:19:21,0:01:35,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Rotterdam,1161,95,0,0,0,0,Jelle Geens
303,Jumpei,Furuya,JPN,34,0:19:29,0:01:32,1:02:15,0:00:28,0:34:33,45,1:58:15,Elite Men,Rotterdam,1169,92,3735,28,2073,7095,Jumpei Furuya
304,Marco,Van Der Stel,NED,35,0:19:00,0:01:37,1:00:21,0:00:24,0:34:53,35,1:56:13,Elite Men,Rotterdam,1140,97,3621,24,2093,6973,Marco Van Der Stel
305,Uxio,Abuin Ares,ESP,36,0:19:08,0:01:36,1:02:33,0:00:29,0:32:04,30,1:55:47,Elite Men,Rotterdam,1148,96,3753,29,1924,6947,Uxio Abuin Ares
306,Russell,White,IRL,37,0:18:56,0:01:35,1:00:26,0:00:23,0:32:35,15,1:53:53,Elite Men,Rotterdam,1136,95,3626,23,1955,6833,Russell White
307,Matthew,Sharpe,CAN,38,0:18:54,0:01:36,1:00:34,0:00:23,0:32:38,16,1:54:03,Elite Men,Rotterdam,1134,96,3634,23,1958,6843,Matthew Sharpe
308,Henrik,Goesch,FIN,39,0:19:21,0:01:45,1:02:12,0:00:24,0:32:08,31,1:55:48,Elite Men,Rotterdam,1161,105,3732,24,1928,6948,Henrik Goesch
309,Jan,Celustka,CZE,40,0:19:23,0:01:38,1:02:14,0:00:24,0:33:31,41,1:57:08,Elite Men,Rotterdam,1163,98,3734,24,2011,7028,Jan Celustka
310,Ryan,Bailie,AUS,41,0:19:03,0:01:42,1:00:16,0:00:27,0:32:55,18,1:54:21,Elite Men,Rotterdam,1143,102,3616,27,1975,6861,Ryan Bailie
311,Christophe,De Keyser,BEL,42,0:19:29,0:01:36,1:02:23,0:00:25,0:33:13,40,1:57:04,Elite Men,Rotterdam,1169,96,3743,25,1993,7024,Christophe De Keyser
312,Vladimir,Turbayevskiy,RUS,43,0:19:25,0:01:50,0:00:00,0:00:00,0:00:00,DNF,LAP,Elite Men,Rotterdam,1165,110,0,0,0,0,Vladimir Turbayevskiy
313,Eder,Mejia Muñoz,MEX,44,0:18:53,0:01:47,1:02:40,0:00:26,0:33:49,43,1:57:33,Elite Men,Rotterdam,1133,107,3760,26,2029,7053,Eder Mejia Muñoz
314,Makoto,Odakura,JPN,45,0:19:08,0:01:40,1:02:37,0:00:28,0:35:35,50,1:59:27,Elite Men,Rotterdam,1148,100,3757,28,2135,7167,Makoto Odakura
315,Miguel,Arraiolos,POR,46,0:19:29,0:01:37,1:02:12,0:00:26,0:32:53,38,1:56:36,Elite Men,Rotterdam,1169,97,3732,26,1973,6996,Miguel Arraiolos
316,Sam,Ward,NZL,47,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,DNF,DNS,Elite Men,Rotterdam,0,0,0,0,0,0,Sam Ward
317,Eric,Lagerstrom,USA,48,0:18:55,0:01:33,1:00:34,0:00:23,0:32:48,17,1:54:12,Elite Men,Rotterdam,1135,93,3634,23,1968,6852,Eric Lagerstrom
318,Yuichi,Hosoda,JPN,49,0:19:28,0:01:46,1:02:13,0:00:26,0:33:07,39,1:56:58,Elite Men,Rotterdam,1168,106,3733,26,1987,7018,Yuichi Hosoda
319,Ji Hwan,Kim,KOR,50,0:19:24,0:01:36,1:02:27,0:00:24,0:34:04,44,1:57:53,Elite Men,Rotterdam,1164,96,3747,24,2044,7073,Ji Hwan Kim
320,Casper,Stornes,NOR,51,0:19:16,0:01:42,1:02:21,0:00:41,0:31:57,33,1:55:54,Elite Men,Rotterdam,1156,102,3741,41,1917,6954,Casper Stornes
321,Bob,Haller,LUX,52,0:19:31,0:01:41,1:02:52,0:00:27,0:00:00,DNF,DNF,Elite Men,Rotterdam,1171,101,3772,27,0,0,Bob Haller
322,Peter,Denteneer,BEL,53,0:18:47,0:01:39,1:02:50,0:00:22,0:32:48,37,1:56:24,Elite Men,Rotterdam,1127,99,3770,22,1968,6984,Peter Denteneer
323,Ivan,Ivanov,UKR,54,0:19:28,0:01:42,1:02:11,0:00:35,0:32:26,36,1:56:19,Elite Men,Rotterdam,1168,102,3731,35,1946,6979,Ivan Ivanov
324,Danilo,Pimentel,BRA,55,0:19:31,0:01:47,1:02:48,0:00:26,0:33:59,46,1:58:28,Elite Men,Rotterdam,1171,107,3768,26,2039,7108,Danilo Pimentel
325,Ryousuke,Maeda,JPN,56,0:19:19,0:01:43,1:02:16,0:00:28,0:35:17,49,1:59:01,Elite Men,Rotterdam,1159,103,3736,28,2117,7141,Ryousuke Maeda
326,Andrey,Bryukhankov,RUS,57,0:18:59,0:01:42,1:02:35,0:00:24,0:31:54,28,1:55:32,Elite Men,Rotterdam,1139,102,3755,24,1914,6932,Andrey Bryukhankov
327,Shiruba,Taniguchi,JPN,58,0:19:26,0:01:46,1:02:16,0:00:27,0:00:00,DNF,DNF,Elite Men,Rotterdam,1166,106,3736,27,0,0,Shiruba Taniguchi
328,Juan Jose,Andrade Figueroa,ECU,59,0:20:30,0:01:39,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Rotterdam,1230,99,0,0,0,0,Juan Jose Andrade Figueroa
329,Marten,Van Riel,BEL,60,0:18:50,0:01:39,1:00:27,0:00:22,0:31:58,13,1:53:15,Elite Men,Rotterdam,1130,99,3627,22,1918,6795,Marten Van Riel
330,Benjamin,Shaw,IRL,61,0:18:55,0:01:44,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Rotterdam,1135,104,0,0,0,0,Benjamin Shaw
331,Filipe,Azevedo,POR,62,0:19:27,0:01:43,1:02:13,0:00:27,0:35:01,48,1:58:49,Elite Men,Rotterdam,1167,103,3733,27,2101,7129,Filipe Azevedo
332,Lawrence,Fanous,JOR,63,0:19:30,0:01:46,1:06:10,0:00:26,0:35:11,55,2:03:01,Elite Men,Rotterdam,1170,106,3970,26,2111,7381,Lawrence Fanous
333,Alberto Eugenio,Casillas Garcia,LTU,64,0:20:32,0:01:43,0:00:00,0:00:00,0:00:00,DNF,LAP,Elite Men,Rotterdam,1232,103,0,0,0,0,Alberto Eugenio Casillas Garcia
334,Roy,Zuaretz,ISR,65,0:20:29,0:01:42,1:05:56,0:00:26,0:32:37,54,2:01:08,Elite Men,Rotterdam,1229,102,3956,26,1957,7268,Roy Zuaretz
335,Ivan,Raña Fuentes,ESP,67,0:19:27,0:01:41,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Rotterdam,1167,101,0,0,0,0,Ivan Raña Fuentes
336,Jan,Volar,CZE,68,0:19:34,0:01:42,1:02:10,0:00:34,0:34:36,47,1:58:33,Elite Men,Rotterdam,1174,102,3730,34,2076,7113,Jan Volar
337,Flora,Duffy,BER,1,0:19:14,0:01:44,1:03:40,0:00:28,0:33:36,1,1:58:39,Elite Women,Rotterdam,1154,104,3820,28,2016,7119,Flora Duffy
338,Katie,Zaferes,USA,4,0:19:21,0:01:38,1:03:41,0:00:23,0:34:34,2,1:59:34,Elite Women,Rotterdam,1161,98,3821,23,2074,7174,Katie Zaferes
339,Jessica,Learmonth,GBR,8,0:19:13,0:01:43,1:03:43,0:00:30,0:35:50,3,2:00:57,Elite Women,Rotterdam,1153,103,3823,30,2150,7257,Jessica Learmonth
340,Kirsten,Kasper,USA,5,0:19:38,0:01:46,1:04:44,0:00:24,0:34:58,4,2:01:29,Elite Women,Rotterdam,1178,106,3884,24,2098,7289,Kirsten Kasper
341,Joanna,Brown,CAN,7,0:19:43,0:01:43,1:04:42,0:00:29,0:35:12,5,2:01:47,Elite Women,Rotterdam,1183,103,3882,29,2112,7307,Joanna Brown
342,Ashleigh,Gentle,AUS,2,0:20:04,0:01:47,1:06:03,0:00:14,0:33:54,6,2:02:00,Elite Women,Rotterdam,1204,107,3963,14,2034,7320,Ashleigh Gentle
343,Rachel,Klamer,NED,6,0:19:39,0:01:49,1:04:40,0:00:28,0:35:34,7,2:02:09,Elite Women,Rotterdam,1179,109,3880,28,2134,7329,Rachel Klamer
344,Jodie,Stimpson,GBR,27,0:19:41,0:01:47,1:04:40,0:00:23,0:35:52,8,2:02:20,Elite Women,Rotterdam,1181,107,3880,23,2152,7340,Jodie Stimpson
345,Summer,Cook,USA,16,0:19:23,0:01:51,1:04:59,0:00:25,0:35:55,9,2:02:30,Elite Women,Rotterdam,1163,111,3899,25,2155,7350,Summer Cook
346,Jolanda,Annen,SUI,10,0:20:04,0:01:46,1:06:03,0:00:26,0:34:27,10,2:02:43,Elite Women,Rotterdam,1204,106,3963,26,2067,7363,Jolanda Annen
347,Andrea,Hewitt,NZL,3,0:19:47,0:01:50,1:06:15,0:00:25,0:34:49,11,2:03:05,Elite Women,Rotterdam,1187,110,3975,25,2089,7385,Andrea Hewitt
348,Alice,Betto,ITA,18,0:19:40,0:01:49,1:04:39,0:00:28,0:36:37,12,2:03:12,Elite Women,Rotterdam,1180,109,3879,28,2197,7392,Alice Betto
349,Nicola,Spirig,SUI,49,0:20:08,0:01:47,1:05:57,0:00:23,0:35:10,13,2:03:23,Elite Women,Rotterdam,1208,107,3957,23,2110,7403,Nicola Spirig
350,Gillian,Backhouse,AUS,15,0:20:06,0:01:46,1:06:02,0:00:25,0:35:14,14,2:03:31,Elite Women,Rotterdam,1206,106,3962,25,2114,7411,Gillian Backhouse
351,Charlotte,McShane,AUS,12,0:19:58,0:01:50,1:06:06,0:00:24,0:35:28,15,2:03:44,Elite Women,Rotterdam,1198,110,3966,24,2128,7424,Charlotte McShane
352,Taylor,Spivey,USA,11,0:19:19,0:01:49,1:05:01,0:00:27,0:37:26,16,2:04:01,Elite Women,Rotterdam,1159,109,3901,27,2246,7441,Taylor Spivey
353,Laura,Lindemann,GER,29,0:19:57,0:01:54,1:06:03,0:00:28,0:36:05,17,2:04:24,Elite Women,Rotterdam,1197,114,3963,28,2165,7464,Laura Lindemann
354,Yuka,Sato,JPN,21,0:20:07,0:01:47,1:06:02,0:00:27,0:36:29,18,2:04:49,Elite Women,Rotterdam,1207,107,3962,27,2189,7489,Yuka Sato
355,Natalie,Van Coevorden,AUS,23,0:19:46,0:01:51,1:06:18,0:00:26,0:36:50,19,2:05:09,Elite Women,Rotterdam,1186,111,3978,26,2210,7509,Natalie Van Coevorden
356,Zsófia,Kovács,HUN,32,0:20:02,0:01:50,1:06:05,0:00:30,0:36:54,20,2:05:20,Elite Women,Rotterdam,1202,110,3965,30,2214,7520,Zsófia Kovács
357,Claire,Michel,BEL,19,0:20:24,0:01:43,1:08:11,0:00:28,0:34:41,21,2:05:24,Elite Women,Rotterdam,1224,103,4091,28,2081,7524,Claire Michel
358,Vendula,Frintova,CZE,20,0:20:07,0:01:48,1:08:24,0:00:27,0:35:30,22,2:06:15,Elite Women,Rotterdam,1207,108,4104,27,2130,7575,Vendula Frintova
359,Yuko,Takahashi,JPN,14,0:19:46,0:01:54,1:06:15,0:00:22,0:38:10,23,2:06:24,Elite Women,Rotterdam,1186,114,3975,22,2290,7584,Yuko Takahashi
360,Simone,Ackermann,RSA,37,0:19:51,0:01:55,1:06:10,0:00:35,0:38:09,24,2:06:39,Elite Women,Rotterdam,1191,115,3970,35,2289,7599,Simone Ackermann
361,Anna,Godoy Contreras,ESP,40,0:20:21,0:01:44,1:08:14,0:00:27,0:36:49,25,2:07:34,Elite Women,Rotterdam,1221,104,4094,27,2209,7654,Anna Godoy Contreras
362,Carolina,Routier,ESP,30,0:19:17,0:01:44,1:09:18,0:00:28,0:36:50,26,2:07:35,Elite Women,Rotterdam,1157,104,4158,28,2210,7655,Carolina Routier
363,Kseniia,Levkovska,AZE,45,0:20:20,0:01:53,1:08:43,0:00:27,0:36:16,27,2:07:38,Elite Women,Rotterdam,1220,113,4123,27,2176,7658,Kseniia Levkovska
364,Anastasia,Abrosimova,RUS,39,0:20:08,0:01:48,1:08:24,0:00:23,0:37:06,28,2:07:48,Elite Women,Rotterdam,1208,108,4104,23,2226,7668,Anastasia Abrosimova
365,Gillian,Sanders,RSA,24,0:21:15,0:01:48,1:07:55,0:00:23,0:36:34,29,2:07:53,Elite Women,Rotterdam,1275,108,4075,23,2194,7673,Gillian Sanders
366,Emma,Jackson,AUS,34,0:19:51,0:01:51,1:06:14,0:00:25,0:40:10,30,2:08:29,Elite Women,Rotterdam,1191,111,3974,25,2410,7709,Emma Jackson
367,Valerie,Barthelemy,BEL,48,0:19:51,0:01:50,1:09:15,0:00:26,0:37:12,31,2:08:33,Elite Women,Rotterdam,1191,110,4155,26,2232,7713,Valerie Barthelemy
368,Juri,Ide,JPN,25,0:19:43,0:02:02,1:09:15,0:00:33,0:37:03,32,2:08:34,Elite Women,Rotterdam,1183,122,4155,33,2223,7714,Juri Ide
369,Mariya,Shorets,RUS,42,0:21:08,0:01:59,1:07:50,0:00:25,0:37:19,33,2:08:39,Elite Women,Rotterdam,1268,119,4070,25,2239,7719,Mariya Shorets
370,Renee,Tomlin,USA,17,0:20:21,0:01:43,1:08:14,0:00:32,0:38:11,34,2:08:59,Elite Women,Rotterdam,1221,103,4094,32,2291,7739,Renee Tomlin
371,Aoi,Kuramoto,JPN,33,0:20:21,0:01:48,1:08:50,0:00:31,0:37:56,35,2:09:24,Elite Women,Rotterdam,1221,108,4130,31,2276,7764,Aoi Kuramoto
372,Long,Hoi,MAC,44,0:21:13,0:01:53,1:07:54,0:00:25,0:39:27,36,2:10:50,Elite Women,Rotterdam,1273,113,4074,25,2367,7850,Long Hoi
373,Lindsey,Jerdonek,USA,35,0:20:23,0:01:51,1:08:45,0:00:26,0:00:00,DNF,DNF,Elite Women,Rotterdam,1223,111,4125,26,0,0,Lindsey Jerdonek
374,Lisa,Perterer,AUT,22,0:21:14,0:01:51,1:07:52,0:00:31,0:00:00,DNF,DNF,Elite Women,Rotterdam,1274,111,4072,31,0,0,Lisa Perterer
375,Lucy,Hall,GBR,26,0:19:44,0:01:43,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Rotterdam,1184,103,0,0,0,0,Lucy Hall
376,Leslie,Amat Alvarez,CUB,46,0:20:32,0:01:55,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Rotterdam,1232,115,0,0,0,0,Leslie Amat Alvarez
377,Ai,Ueda,JPN,9,0:21:17,0:01:54,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Rotterdam,1277,114,0,0,0,0,Ai Ueda
378,Elena,Danilova,RUS,36,0:21:49,0:01:52,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Rotterdam,1309,112,0,0,0,0,Elena Danilova
379,Kaidi,Kivioja,EST,38,0:22:30,0:01:51,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Rotterdam,1350,111,0,0,0,0,Kaidi Kivioja
380,Elizabeth,Bravo,ECU,41,0:22:02,0:01:52,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Rotterdam,1322,112,0,0,0,0,Elizabeth Bravo
381,Mario,Mola,ESP,2,0:08:55,0:00:38,0:30:16,0:00:22,0:14:01,1,0:54:08,Elite Men,Hamburg,535,38,1816,22,841,3248,Mario Mola
382,Jacob,Birtwhistle,AUS,16,0:08:50,0:00:41,0:30:17,0:00:20,0:14:15,2,0:54:20,Elite Men,Hamburg,530,41,1817,20,855,3260,Jacob Birtwhistle
383,Ryan,Sissons,NZL,24,0:09:05,0:00:36,0:30:09,0:00:20,0:14:16,3,0:54:23,Elite Men,Hamburg,545,36,1809,20,856,3263,Ryan Sissons
384,Vincent,Luis,FRA,8,0:09:00,0:00:38,0:30:13,0:00:21,0:14:18,4,0:54:26,Elite Men,Hamburg,540,38,1813,21,858,3266,Vincent Luis
385,Javier,Gomez Noya,ESP,3,0:08:54,0:00:37,0:30:20,0:00:21,0:14:19,5,0:54:28,Elite Men,Hamburg,534,37,1820,21,859,3268,Javier Gomez Noya
386,Dorian,Coninx,FRA,35,0:08:50,0:00:37,0:30:29,0:00:19,0:14:18,6,0:54:29,Elite Men,Hamburg,530,37,1829,19,858,3269,Dorian Coninx
387,Richard,Murray,RSA,6,0:09:00,0:00:40,0:30:12,0:00:25,0:14:17,7,0:54:31,Elite Men,Hamburg,540,40,1812,25,857,3271,Richard Murray
388,Léo,Bergere,FRA,31,0:08:56,0:00:36,0:30:18,0:00:21,0:14:29,8,0:54:36,Elite Men,Hamburg,536,36,1818,21,869,3276,Léo Bergere
389,Kristian,Blummenfelt,NOR,7,0:08:54,0:00:38,0:30:16,0:00:20,0:14:35,9,0:54:39,Elite Men,Hamburg,534,38,1816,20,875,3279,Kristian Blummenfelt
390,Joao,Pereira,POR,18,0:09:00,0:00:37,0:30:17,0:00:22,0:14:32,10,0:54:45,Elite Men,Hamburg,540,37,1817,22,872,3285,Joao Pereira
391,Raphael,Montoya,FRA,48,0:09:02,0:00:40,0:30:12,0:00:23,0:14:32,11,0:54:45,Elite Men,Hamburg,542,40,1812,23,872,3285,Raphael Montoya
392,Thomas,Bishop,GBR,4,0:08:52,0:00:38,0:30:22,0:00:25,0:14:31,12,0:54:46,Elite Men,Hamburg,532,38,1822,25,871,3286,Thomas Bishop
393,Vicente,Hernandez,ESP,9,0:08:59,0:00:38,0:30:17,0:00:23,0:14:35,13,0:54:47,Elite Men,Hamburg,539,38,1817,23,875,3287,Vicente Hernandez
394,Andreas,Schilling,DEN,12,0:08:58,0:00:38,0:30:13,0:00:21,0:14:41,14,0:54:48,Elite Men,Hamburg,538,38,1813,21,881,3288,Andreas Schilling
395,Justus,Nieschlag,GER,53,0:09:04,0:00:39,0:30:06,0:00:18,0:14:49,15,0:54:52,Elite Men,Hamburg,544,39,1806,18,889,3292,Justus Nieschlag
396,Henri,Schoeman,RSA,5,0:08:48,0:00:37,0:30:28,0:00:19,0:14:49,16,0:54:56,Elite Men,Hamburg,528,37,1828,19,889,3296,Henri Schoeman
397,Adrien,Briffod,SUI,25,0:08:58,0:00:36,0:30:15,0:00:20,0:14:56,17,0:55:01,Elite Men,Hamburg,538,36,1815,20,896,3301,Adrien Briffod
398,Matthew,McElroy,USA,42,0:09:03,0:00:40,0:30:09,0:00:21,0:14:56,18,0:55:05,Elite Men,Hamburg,543,40,1809,21,896,3305,Matthew McElroy
399,Lukas,Hollaus,AUT,39,0:09:03,0:00:40,0:30:11,0:00:21,0:14:56,19,0:55:07,Elite Men,Hamburg,543,40,1811,21,896,3307,Lukas Hollaus
400,Matthew,Hauser,AUS,40,0:08:33,0:00:36,0:30:45,0:00:21,0:14:56,20,0:55:09,Elite Men,Hamburg,513,36,1845,21,896,3309,Matthew Hauser
401,Kevin,McDowell,USA,30,0:08:46,0:00:41,0:30:28,0:00:22,0:14:58,21,0:55:11,Elite Men,Hamburg,526,41,1828,22,898,3311,Kevin McDowell
402,Andrea,Salvisberg,SUI,15,0:08:54,0:00:39,0:30:20,0:00:22,0:15:06,22,0:55:17,Elite Men,Hamburg,534,39,1820,22,906,3317,Andrea Salvisberg
403,Shachar,Sagiv,ISR,21,0:09:08,0:00:38,0:30:03,0:00:20,0:15:15,23,0:55:19,Elite Men,Hamburg,548,38,1803,20,915,3319,Shachar Sagiv
404,Joao,Silva,POR,14,0:08:52,0:00:35,0:30:28,0:00:22,0:15:05,24,0:55:20,Elite Men,Hamburg,532,35,1828,22,905,3320,Joao Silva
405,Aaron,Royle,AUS,33,0:08:50,0:00:39,0:30:20,0:00:22,0:15:19,25,0:55:26,Elite Men,Hamburg,530,39,1820,22,919,3326,Aaron Royle
406,Gustav,Iden,NOR,62,0:09:01,0:00:39,0:30:13,0:00:21,0:15:18,26,0:55:28,Elite Men,Hamburg,541,39,1813,21,918,3328,Gustav Iden
407,Alois,Knabl,AUT,28,0:08:58,0:00:41,0:30:12,0:00:23,0:15:24,27,0:55:33,Elite Men,Hamburg,538,41,1812,23,924,3333,Alois Knabl
408,Peter,Denteneer,BEL,59,0:08:47,0:00:41,0:30:24,0:00:23,0:15:23,28,0:55:33,Elite Men,Hamburg,527,41,1824,23,923,3333,Peter Denteneer
409,Jumpei,Furuya,JPN,47,0:08:55,0:00:35,0:30:25,0:00:21,0:15:27,29,0:55:39,Elite Men,Hamburg,535,35,1825,21,927,3339,Jumpei Furuya
410,Luke,Willian,AUS,20,0:08:56,0:00:40,0:30:17,0:00:23,0:15:30,30,0:55:42,Elite Men,Hamburg,536,40,1817,23,930,3342,Luke Willian
411,Jonas,Schomburg,ITU,34,0:08:46,0:00:37,0:30:30,0:00:20,0:15:33,31,0:55:43,Elite Men,Hamburg,526,37,1830,20,933,3343,Jonas Schomburg
412,Stefan,Zachäus,LUX,54,0:09:01,0:00:41,0:30:11,0:00:20,0:15:36,32,0:55:45,Elite Men,Hamburg,541,41,1811,20,936,3345,Stefan Zachäus
413,Dmitry,Polyanskiy,RUS,37,0:08:54,0:00:40,0:30:24,0:00:23,0:15:33,33,0:55:49,Elite Men,Hamburg,534,40,1824,23,933,3349,Dmitry Polyanskiy
414,Gordon,Benson,GBR,32,0:08:59,0:00:46,0:30:10,0:00:25,0:15:38,34,0:55:55,Elite Men,Hamburg,539,46,1810,25,938,3355,Gordon Benson
415,Marco,Van Der Stel,NED,38,0:08:57,0:00:42,0:30:13,0:00:22,0:15:52,35,0:56:02,Elite Men,Hamburg,537,42,1813,22,952,3362,Marco Van Der Stel
416,Ben,Kanute,USA,29,0:08:51,0:00:36,0:30:26,0:00:21,0:15:52,36,0:56:02,Elite Men,Hamburg,531,36,1826,21,952,3362,Ben Kanute
417,Adam,Bowden,GBR,10,0:08:57,0:00:50,0:31:06,0:00:22,0:14:55,37,0:56:08,Elite Men,Hamburg,537,50,1866,22,895,3368,Adam Bowden
418,Thomas,Springer,AUT,57,0:09:06,0:00:38,0:31:13,0:00:22,0:14:55,38,0:56:09,Elite Men,Hamburg,546,38,1873,22,895,3369,Thomas Springer
419,Russell,White,IRL,43,0:09:01,0:00:39,0:30:16,0:00:25,0:15:54,39,0:56:10,Elite Men,Hamburg,541,39,1816,25,954,3370,Russell White
420,Sam,Ward,NZL,49,0:09:03,0:00:41,0:31:14,0:00:21,0:14:57,40,0:56:11,Elite Men,Hamburg,543,41,1874,21,897,3371,Sam Ward
421,Tayler,Reid,NZL,36,0:08:55,0:00:39,0:30:23,0:00:24,0:16:08,41,0:56:25,Elite Men,Hamburg,535,39,1823,24,968,3385,Tayler Reid
422,Ryan,Bailie,AUS,27,0:08:54,0:00:42,0:30:16,0:00:22,0:16:29,42,0:56:39,Elite Men,Hamburg,534,42,1816,22,989,3399,Ryan Bailie
423,Gábor,Faldum,HUN,23,0:09:00,0:00:42,0:30:14,0:00:21,0:16:39,43,0:56:52,Elite Men,Hamburg,540,42,1814,21,999,3412,Gábor Faldum
424,Matthias,Steinwandter,ITA,55,0:09:02,0:00:43,0:31:10,0:00:22,0:15:42,44,0:56:56,Elite Men,Hamburg,542,43,1870,22,942,3416,Matthias Steinwandter
425,Danilo,Pimentel,BRA,51,0:09:03,0:00:42,0:31:10,0:00:20,0:15:56,45,0:57:08,Elite Men,Hamburg,543,42,1870,20,956,3428,Danilo Pimentel
426,Marc,Austin,GBR,17,0:08:51,0:00:43,0:31:26,0:00:20,0:16:02,46,0:57:19,Elite Men,Hamburg,531,43,1886,20,962,3439,Marc Austin
427,Lasse,Lührs,GER,46,0:09:00,0:00:44,0:30:13,0:00:22,0:17:27,47,0:57:43,Elite Men,Hamburg,540,44,1813,22,1047,3463,Lasse Lührs
428,David,Castro Fajardo,ESP,52,0:08:58,0:00:37,0:30:37,0:00:24,0:17:18,48,0:57:51,Elite Men,Hamburg,538,37,1837,24,1038,3471,David Castro Fajardo
429,Lukas,Pertl,AUT,41,0:09:06,0:00:38,0:32:17,0:00:22,0:15:37,49,0:57:55,Elite Men,Hamburg,546,38,1937,22,937,3475,Lukas Pertl
430,Jorik,Van Egdom,NED,56,0:09:36,0:00:41,0:31:45,0:00:25,0:15:39,50,0:58:00,Elite Men,Hamburg,576,41,1905,25,939,3480,Jorik Van Egdom
431,Austin,Hindman,USA,61,0:08:53,0:00:42,0:31:26,0:00:25,0:16:51,51,0:58:13,Elite Men,Hamburg,533,42,1886,25,1011,3493,Austin Hindman
432,Fabian,Villanueva Moehl,MEX,60,0:09:16,0:00:48,0:31:59,0:00:20,0:16:59,52,0:59:17,Elite Men,Hamburg,556,48,1919,20,1019,3557,Fabian Villanueva Moehl
433,Makoto,Odakura,JPN,44,0:09:00,0:00:45,0:32:18,0:00:24,0:16:58,53,0:59:20,Elite Men,Hamburg,540,45,1938,24,1018,3560,Makoto Odakura
434,Pierre,Le Corre,FRA,26,0:08:50,0:00:43,0:34:07,0:00:21,0:15:31,54,0:59:26,Elite Men,Hamburg,530,43,2047,21,931,3566,Pierre Le Corre
435,Simon,De Cuyper,BEL,50,0:09:12,0:00:38,0:31:04,0:00:22,0:00:00,DNF,DNF,Elite Men,Hamburg,552,38,1864,22,0,0,Simon De Cuyper
436,Eric,Lagerstrom,USA,45,0:09:00,0:00:43,0:30:13,0:00:25,0:00:00,DNF,DNF,Elite Men,Hamburg,540,43,1813,25,0,0,Eric Lagerstrom
437,Tony,Dodds,NZL,22,0:08:53,0:00:39,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Hamburg,533,39,0,0,0,0,Tony Dodds
438,Manoel,Messias,BRA,58,0:09:46,0:01:00,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Hamburg,586,60,0,0,0,0,Manoel Messias
439,Fernando,Alarza,ESP,1,0:08:58,0:00:40,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Hamburg,538,40,0,0,0,0,Fernando Alarza
440,Rostislav,Pevtsov,AZE,19,0:08:56,0:00:46,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Hamburg,536,46,0,0,0,0,Rostislav Pevtsov
441,Flora,Duffy,BER,5,0:09:25,0:00:41,0:31:57,0:00:27,0:16:32,1,0:59:00,Elite Women,Hamburg,565,41,1917,27,992,3540,Flora Duffy
442,Ashleigh,Gentle,AUS,3,0:09:51,0:00:42,0:32:28,0:00:24,0:16:10,2,0:59:31,Elite Women,Hamburg,591,42,1948,24,970,3571,Ashleigh Gentle
443,Laura,Lindemann,GER,33,0:09:28,0:00:46,0:32:47,0:00:23,0:16:22,3,0:59:41,Elite Women,Hamburg,568,46,1967,23,982,3581,Laura Lindemann
444,Katie,Zaferes,USA,2,0:09:27,0:00:46,0:32:52,0:00:24,0:16:17,4,0:59:42,Elite Women,Hamburg,567,46,1972,24,977,3582,Katie Zaferes
445,Jolanda,Annen,SUI,21,0:09:34,0:00:40,0:32:46,0:00:21,0:16:33,5,0:59:49,Elite Women,Hamburg,574,40,1966,21,993,3589,Jolanda Annen
